Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2020-01-02,72.4005126953125,94.90049743652344,67.92081451416016,152.15841674804688,5.971076965332031
2020-01-03,71.69664001464844,93.74849700927734,67.56548309326172,150.26376342773438,5.8755059242248535
2020-01-06,72.26792907714844,95.14399719238281,69.36638641357422,150.65213012695312,5.900144100189209
2020-01-07,71.92804718017578,95.34300231933594,69.23239135742188,149.278564453125,5.971575736999512
2020-01-08,73.0851058959961,94.59850311279297,69.72517395019531,151.65631103515625,5.9827752113342285
2020-01-09,74.63748931884766,95.05249786376953,70.45713806152344,153.5509796142578,6.048481464385986
2020-01-10,74.80622863769531,94.15799713134766,70.9122085571289,152.8404541015625,6.080837726593018
2020-01-13,76.40440368652344,94.56500244140625,71.46155548095703,154.67825317382812,6.271485805511475
2020-01-14,75.3727035522461,93.47200012207031,70.99309539794922,153.58885192871094,6.154507637023926
2020-01-15,75.04969024658203,93.10099792480469,71.42037200927734,154.5835418701172,6.111949443817139
2020-01-16,75.98981475830078,93.89700317382812,71.96424865722656,157.41595458984375,6.1955766677856445
2020-01-17,76.83106994628906,93.23600006103516,73.4212417602539,158.29702758789062,6.204286098480225
2020-01-21,76.31041717529297,94.5999984741211,73.55673217773438,157.72862243652344,6.17093563079834
2020-01-22,76.58280181884766,94.37300109863281,73.6371078491211,156.9707489013672,6.224943161010742
2020-01-23,76.95162200927734,94.22899627685547,73.67780303955078,157.93702697753906,6.293386936187744
2020-01-24,76.7298355102539,93.08200073242188,72.75875854492188,156.34556579589844,6.234152317047119
2020-01-27,74.47357940673828,91.41699981689453,71.04967498779297,153.73097229003906,5.97829532623291
2020-01-28,76.58037567138672,92.6624984741211,71.98113250732422,156.74343872070312,6.171680927276611
2020-01-29,78.18340301513672,92.9000015258789,72.28880310058594,159.1875,6.111202239990234
2020-01-30,78.07008361816406,93.53399658203125,72.16722869873047,163.67774963378906,6.117920875549316
2020-01-31,74.60855102539062,100.43599700927734,71.10177612304688,161.26211547851562,5.884463787078857
2020-02-03,74.4036865234375,100.20999908447266,73.57408905029297,165.1935272216797,5.981531620025635
2020-02-04,76.8600082397461,102.4834976196289,71.7285385131836,170.63111877441406,6.150774955749512
2020-02-05,77.48677825927734,101.99349975585938,71.76029205322266,170.42271423339844,6.241121768951416
2020-02-06,78.3930892944336,102.5114974975586,73.24508666992188,173.95620727539062,6.327982425689697
2020-02-07,77.32755279541016,103.96399688720703,73.40089416503906,174.20249938964844,6.261778831481934
2020-02-10,77.69481658935547,106.69550323486328,74.86732482910156,178.7591094970703,6.545014381408691
2020-02-11,77.22606658935547,107.54000091552734,74.93679809570312,174.72360229492188,6.667466640472412
2020-02-12,79.06002044677734,108.0,75.3620834350586,174.97930908203125,6.783200263977051
2020-02-13,78.49700927734375,107.49349975585938,75.10204315185547,174.031982421875,6.739396572113037
2020-02-14,78.51634216308594,106.74349975585938,75.36705780029297,175.5855712890625,7.212531566619873
2020-02-18,77.07865142822266,107.78350067138672,75.40227508544922,177.3665313720703,7.381278991699219
2020-02-19,78.19496154785156,108.51100158691406,75.67174530029297,177.89849853515625,7.832512378692627
2020-02-20,77.39276885986328,107.65499877929688,75.28070831298828,175.1817626953125,7.683180332183838
2020-02-21,75.6409912109375,104.79850006103516,73.61676788330078,169.64382934570312,7.319057464599609
2020-02-24,72.04801177978516,100.4645004272461,70.46062469482422,162.3295440673828,6.80161714553833
2020-02-25,69.60760498046875,98.63700103759766,68.79619598388672,159.6508026123047,6.522116184234619
2020-02-26,70.71184539794922,98.97949981689453,69.00214385986328,161.64561462402344,6.661493301391602
2020-02-27,66.08950805664062,94.21499633789062,65.25444793701172,150.25624084472656,6.290677547454834
2020-02-28,66.05086517333984,94.1875,66.46034240722656,153.8943634033203,6.72574520111084
2020-03-02,72.20023345947266,97.69750213623047,68.79619598388672,164.1343536376953,6.884133338928223
2020-03-03,69.9072036743164,95.44950103759766,66.3844223022461,156.26914978027344,6.62164831161499
2020-03-04,73.14981842041016,98.79149627685547,68.56195831298828,162.0065460205078,7.085355758666992
2020-03-05,70.7770767211914,96.20149993896484,65.2450180053711,157.9409637451172,6.805935859680176
2020-03-06,69.83714294433594,95.05449676513672,64.30115509033203,153.4763946533203,6.6253814697265625
2020-03-09,64.3135757446289,90.03050231933594,60.33363342285156,143.07493591308594,6.112367630004883
2020-03-10,68.94554138183594,94.59100341796875,63.28036880493164,152.8589630126953,6.501860618591309
2020-03-11,66.55101776123047,91.04299926757812,60.09096908569336,145.93414306640625,6.138016700744629
2020-03-12,59.97880172729492,83.83049774169922,55.16071701049805,132.0940399169922,5.3869218826293945
2020-03-13,67.16474151611328,89.25,60.25820541381836,150.8736572265625,5.997808933258057
2020-03-16,58.524208068847656,84.4574966430664,53.24767303466797,128.63638305664062,4.891088962554932
2020-03-17,61.097530364990234,90.39199829101562,55.48378372192383,139.22784423828125,5.410829067230225
2020-03-18,59.60186004638672,91.5,54.150352478027344,133.36688232421875,5.050970554351807
2020-03-19,59.14518356323242,94.04650115966797,55.16667938232422,135.56118774414062,5.303743839263916
2020-03-20,55.390323638916016,92.30449676513672,53.00996780395508,130.4696807861328,5.123938083648682
2020-03-23,54.213600158691406,95.1415023803711,52.311248779296875,129.16830444335938,5.296770095825195
2020-03-24,59.65260696411133,97.00499725341797,56.07680130004883,140.9091796875,6.205507278442383
2020-03-25,59.323997497558594,94.29199981689453,54.667945861816406,139.5602569580078,6.116849899291992
2020-03-26,62.4458122253418,97.77449798583984,57.7099609375,148.2899169921875,6.406230449676514
2020-03-27,59.86041259765625,95.00499725341797,55.09670639038086,142.20098876953125,6.293913841247559
2020-03-30,61.568695068359375,98.19750213623047,56.88568878173828,152.20352172851562,6.614175796508789
2020-03-31,61.44304275512695,97.48600006103516,57.66182327270508,149.80978393554688,6.564617156982422
2020-04-01,58.21010208129883,95.38500213623047,54.69175720214844,144.49026489257812,6.053344249725342
2020-04-02,59.18143081665039,95.94149780273438,55.43266296386719,147.48248291015625,6.362151622772217
2020-04-03,58.3309211730957,95.32949829101562,54.225284576416016,146.12417602539062,6.0742645263671875
2020-04-06,63.41954803466797,99.87950134277344,58.71586608886719,156.99105834960938,6.684156894683838
2020-04-07,62.68501281738281,100.58000183105469,58.684593200683594,155.3002471923828,6.450808525085449
2020-04-08,64.2894058227539,102.1500015258789,59.897422790527344,156.8581085205078,6.648044586181641
2020-04-09,64.75334167480469,102.13800048828125,59.876094818115234,156.86756896972656,6.548430442810059
2020-04-13,66.02428436279297,108.44349670410156,60.066650390625,157.21900939941406,6.720264911651611
2020-04-14,69.35871124267578,114.16600036621094,62.7870979309082,164.99876403808594,7.071407794952393
2020-04-15,68.72566223144531,115.38400268554688,62.39357376098633,163.2698974609375,6.993957996368408
2020-04-16,69.271728515625,120.40950012207031,62.400020599365234,168.17144775390625,7.339122772216797
2020-04-17,68.33180236816406,118.75,63.47043991088867,169.65330505371094,7.279852390289307
2020-04-20,66.91345977783203,119.68049621582031,62.58462905883789,166.29063415527344,7.1486101150512695
2020-04-21,64.8451156616211,116.40599822998047,60.15349578857422,159.41331481933594,6.711798667907715
2020-04-22,66.71290588378906,118.17449951171875,62.44866180419922,164.8278045654297,7.126195907592773
2020-04-23,66.45436096191406,119.97250366210938,63.08186721801758,162.83297729492188,7.072903156280518
2020-04-24,68.37287139892578,120.51100158691406,63.35133743286133,165.8061981201172,7.21186637878418
2020-04-27,68.42122650146484,118.80000305175781,63.06648635864258,165.33123779296875,7.398393154144287
2020-04-28,67.3121337890625,115.7040023803711,61.167335510253906,161.30364990234375,7.25594425201416
2020-04-29,69.52302551269531,118.635498046875,66.60574340820312,168.54193115234375,7.432760715484619
2020-04-30,70.98967742919922,123.69999694824219,66.83006286621094,170.23277282714844,7.278857707977295
2020-05-01,69.8468017578125,114.302001953125,65.37206268310547,165.82521057128906,7.042271137237549
2020-05-04,70.83503723144531,115.79949951171875,65.64897155761719,169.88125610351562,7.254201889038086
2020-05-05,71.89820098876953,115.88999938964844,66.94517517089844,171.7051239013672,7.315215110778809
2020-05-06,72.63998413085938,117.56300354003906,66.76702880859375,173.39593505859375,7.416075706481934
2020-05-07,73.3914566040039,118.38050079345703,67.9505844116211,174.40283203125,7.592393398284912
2020-05-08,75.13831329345703,118.98049926757812,68.69794464111328,175.4287567138672,7.782410144805908
2020-05-11,76.32061767578125,120.44999694824219,69.65321350097656,177.3855743408203,8.034435272216797
2020-05-12,75.44841003417969,117.84750366210938,68.24337005615234,173.36741638183594,7.77244758605957
2020-05-13,74.53743743896484,118.39600372314453,66.91094207763672,170.74571228027344,7.750034809112549
2020-05-14,74.99534606933594,119.44249725341797,67.33424377441406,171.48663330078125,7.999570846557617
2020-05-15,74.55197143554688,120.48899841308594,68.1381607055664,173.98487854003906,8.458046913146973
2020-05-18,76.30850219726562,121.31300354003906,68.73961639404297,175.64723205566406,8.716548919677734
2020-05-19,75.86756134033203,122.46649932861328,68.20466613769531,174.43133544921875,8.771585464477539
2020-05-20,77.3430404663086,124.89700317382812,69.92962646484375,176.85084533691406,8.935450553894043
2020-05-21,76.76643371582031,122.33699798583984,69.81002807617188,174.72662353515625,8.741451263427734
2020-05-22,77.26067352294922,121.84400177001953,70.1321029663086,174.80282592773438,8.991484642028809
2020-05-26,76.73736572265625,121.09300231933594,70.53555297851562,172.95494079589844,8.684172630310059
2020-05-27,77.07167053222656,120.51950073242188,70.48146057128906,173.18356323242188,8.492416381835938
2020-05-28,77.10560607910156,120.05500030517578,70.38023376464844,172.79295349121094,8.454313278198242
2020-05-29,77.0304946899414,122.11849975585938,71.13849639892578,174.55517578125,8.841313362121582
2020-06-01,77.97781372070312,123.552001953125,71.20549774169922,174.15509033203125,8.772330284118652
2020-06-02,78.33880615234375,123.62049865722656,71.57469940185547,176.13644409179688,8.791255950927734
2020-06-03,78.77007293701172,123.91999816894531,71.4228515625,176.56507873535156,8.735725402832031
2020-06-04,78.0916976928711,123.02999877929688,70.18470001220703,174.2408447265625,8.736716270446777
2020-06-05,80.31582641601562,124.1500015258789,71.4610595703125,178.31777954101562,8.889698028564453
2020-06-08,80.79067993164062,126.2030029296875,71.85904693603516,179.4226837158203,8.7750883102417
2020-06-09,83.34188079833984,130.04299926757812,72.05953979492188,180.79444885253906,9.015270233154297
2020-06-10,85.4860610961914,132.37249755859375,72.68579864501953,187.5003662109375,9.33493423461914
2020-06-11,81.38186645507812,127.89800262451172,69.56935119628906,177.43191528320312,8.76637077331543
2020-06-12,82.08444213867188,127.2509994506836,70.11622619628906,178.8321533203125,8.902155876159668
2020-06-15,83.099609375,128.63400268554688,70.50428771972656,179.97520446777344,9.142585754394531
2020-06-16,85.30193328857422,130.7635040283203,71.78113555908203,184.3855438232422,9.037694931030273
2020-06-17,85.18323516845703,132.0489959716797,72.0823745727539,185.0237274169922,9.20462417602539
2020-06-18,85.2171401977539,132.69900512695312,71.16827392578125,187.0050506591797,9.186687469482422
2020-06-19,84.73014068603516,133.75050354003906,70.69783020019531,185.8905487060547,9.229791641235352
2020-06-22,86.94701385498047,135.6909942626953,71.98907470703125,191.0533905029297,9.494386672973633
2020-06-23,88.80288696289062,138.2205047607422,72.65007019042969,192.3297882080078,9.417900085449219
2020-06-24,87.23532104492188,136.72000122070312,71.09781646728516,188.45294189453125,9.204126358032227
2020-06-25,88.39342498779297,137.72900390625,71.5146484375,190.83428955078125,9.457761764526367
2020-06-26,85.67745208740234,134.64349365234375,67.61609649658203,187.01455688476562,9.123900413513184
2020-06-29,87.65208435058594,134.0189971923828,69.33462524414062,189.02447509765625,9.168745994567871
2020-06-30,88.38374328613281,137.9409942626953,70.37078857421875,193.85389709472656,9.465484619140625
2020-07-01,88.216552734375,143.93499755859375,71.55931091308594,194.98741149902344,9.497626304626465
2020-07-02,88.216552734375,144.51499938964844,72.94534301757812,196.47340393066406,9.579596519470215
2020-07-06,90.57637786865234,152.8520050048828,74.42020416259766,200.70272827148438,9.805825233459473
2020-07-07,90.29532623291016,150.00599670410156,73.9373550415039,198.3690185546875,9.838217735290527
2020-07-08,92.3983154296875,154.0554962158203,74.6162109375,202.731689453125,10.181296348571777
2020-07-09,92.79566192626953,159.13150024414062,75.36357116699219,204.1509552001953,10.473299980163574
2020-07-10,92.95799255371094,160.0,76.37344360351562,203.5317840576172,10.44365406036377
2020-07-13,92.5291519165039,155.1999969482422,75.04448699951172,197.24496459960938,10.018104553222656
2020-07-14,94.06037139892578,154.1999969482422,75.4727554321289,198.46426391601562,10.341750144958496
2020-07-15,94.70726013183594,150.44349670410156,75.2752456665039,198.16896057128906,10.19250774383545
2020-07-16,93.5418701171875,149.9949951171875,75.177978515625,194.2444305419922,10.100323677062988
2020-07-17,93.3529052734375,148.09849548339844,75.27376556396484,193.2537841796875,10.166845321655273
2020-07-20,95.32022857666016,159.8419952392578,77.60563659667969,201.56004333496094,10.475046157836914
2020-07-21,94.00464630126953,156.9145050048828,77.21260833740234,198.8452606201172,10.293413162231445
2020-07-22,94.26871490478516,154.99549865722656,77.65576171875,201.70294189453125,10.403290748596191
2020-07-23,89.97793579101562,149.32749938964844,75.26879119873047,192.92991638183594,10.09533977508545
2020-07-24,89.75505065917969,150.44549560546875,74.8449935913086,191.7487030029297,10.159869194030762
2020-07-27,91.88225555419922,152.760498046875,75.89803314208984,194.17776489257812,10.386099815368652
2020-07-28,90.37287139892578,150.01649475097656,74.61869812011719,192.43460083007812,10.18079662322998
2020-07-29,92.10516357421875,151.67649841308594,75.60425567626953,194.37779235839844,10.429950714111328
