Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2020-01-03,-0.009721720800221045,-0.012139034655920922,-0.005231553589669757,-0.012451650150007265,-0.016005980391553987
2020-01-06,0.007968036340179285,0.01488557393050649,0.026654075500025742,0.0025849730165008467,0.004193615459267219
2020-01-07,-0.00470276440750772,0.0020916204156393725,-0.0019318100952805395,-0.009117969651198155,0.012106842211730084
2020-01-08,0.01608622625428846,-0.007808640261289357,0.007117804793624893,0.015928664051685804,0.0018755435367170392
2020-01-09,0.021240760915179235,0.0047991747864684076,0.01049806560158495,0.01249266773653157,0.010982409765174284
2020-01-10,0.002260682583850926,-0.009410596802031268,0.006458501873153999,-0.004626599678787313,0.005349485221629147
2020-01-13,0.021364401557490753,0.004322578245699482,0.007747076448558321,0.012024092911775197,0.031352428919294795
2020-01-14,-0.013503047587093864,-0.011558211718052602,-0.006555414024435047,-0.0070431121803737895,-0.018652458311160358
2020-01-15,-0.004285951145703959,-0.003969126548924895,0.0060184582675055776,0.006476216022889947,-0.006915117519343705
2020-01-16,0.012526593711522427,0.00854991102959346,0.007615254865556809,0.01832325563650672,0.013682422864782273
2020-01-17,0.011071235480242025,-0.00703966144232826,0.020246068432773656,0.0055968080387607255,0.0014059810223348013
2020-01-21,-0.006776886651839065,0.014629525206926841,0.001845384445047893,-0.003590653889401163,-0.005375468505105285
2020-01-22,0.0035695289817399,-0.0023995494624704516,0.0010928068499158616,-0.004805016588621092,0.008751765363053332
2020-01-23,0.004815566819351913,-0.0015259112256781338,0.0005525414836085041,0.006155783730440234,0.010995393288628419
2020-01-24,-0.0028819572403920857,-0.012172426638861644,-0.012473831421595971,-0.010076650910356366,-0.00941235123907147
2020-01-27,-0.029405199274982197,-0.01788746376771211,-0.023489729502101153,-0.016723170193855053,-0.041041033920546255
2020-01-28,0.028289279377007537,0.01362436592451366,0.01310984026734463,0.01959590122515209,0.03234794787912487
2020-01-29,0.0209324113548095,0.0025630978623367717,0.004274323217141829,0.015592260380789646,-0.009799540352225633
2020-01-30,-0.0014489169911474642,0.006824489189870775,-0.0016816820873628568,0.02820778779102895,0.0010996308632902352
2020-01-31,-0.044338864628138186,0.07379135586484753,-0.014763556332984207,-0.014758473343415845,-0.038159618874575085
2020-02-03,-0.0027462663978620183,-0.0022501685803328897,0.03477135406981513,0.024378727831713798,0.01649552988278713
2020-02-04,0.03301354694034875,0.022687342140775613,-0.025084245838882357,0.032916680599017756,0.02829431431195073
2020-02-05,0.008154398440768817,-0.004781236737139594,0.0004426904645942198,-0.001221553497693928,0.014688687824198743
2020-02-06,0.011697122507863034,0.0050787328892443195,0.02069103363734892,0.020733968183932028,0.013917551490111979
2020-02-07,-0.013592899525301072,0.014169136390608683,0.002127207464704517,0.0014156525790858243,-0.010462188173050113
2020-02-10,0.0047495553982424,0.026273579599096486,0.01997837602312158,0.026157060789460118,0.04523236963178445
2020-02-11,-0.006033417998757562,0.007915025985726132,0.0009279517701499262,-0.02257562382001166,0.018709463460579112
2020-02-12,0.023747768759511345,0.004277469597884664,0.005675355493663492,0.001463930398550195,0.01735781636325817
2020-02-13,-0.0071208334704456755,-0.00468981707537619,-0.003450646192596385,-0.005413586497566514,-0.006457814440520848
